vowelSAMPA,F0,F1_Hz,F2_Hz,F3_Hz,target
u,230,335,1280.333333,2807,0
E~,208,681,1162.666667,2776.333333,1
y,225.6666667,403.6666667,1917.666667,2625.333333,0
O~,242,304,969.6666667,2734.666667,1
i,227,296.3333333,2378.666667,3535.333333,0
3,214.3333333,384.3333333,2301.333333,2984.666667,0
O~,236.6666667,332.3333333,1079,3033.666667,1
a~,196,448.3333333,981,1809.333333,1
y,211.3333333,280,2071.333333,2711.333333,0
a,184.6666667,710,1686.666667,2915.333333,0
e,212.3333333,405.6666667,2366.666667,3006.333333,0
a~,217.3333333,473,908.3333333,2852.333333,1
O~,213.3333333,339.3333333,1115,2752,1
e,197.3333333,389,1904.666667,2780,0
o,211.6666667,345,832.3333333,2836.666667,0
e,202.3333333,390,2348.333333,3022.333333,0
3,173.3333333,463,2233.666667,2751.666667,0
2,207.6666667,432.3333333,1650,2782.666667,0
e,204,419.6666667,2151.333333,2893.666667,0
3,224.3333333,671,1867.666667,2909.666667,0
a~,215,427.6666667,1178,3186.666667,1
u,236.3333333,331,868.3333333,2635.333333,0
O~,210,320,992,2844.666667,1
y,219,291.6666667,2247.333333,2860.333333,0
o,210,362.6666667,1001,2789,0
E~,193.6666667,488.3333333,1045.333333,2291,1
e,198.6666667,394.3333333,2121.666667,2822.666667,0
3,200,606,1763.333333,2647.666667,0
E~,188.6666667,629.6666667,1243.666667,3331.333333,1
2,225.6666667,436.3333333,1624,2795.666667,0
9,197.3333333,645.6666667,1619.333333,2705,0
u,249.6666667,284,970.6666667,2674,0
3,228.6666667,407.3333333,2274.666667,2884.666667,0
o,200,347.6666667,919.6666667,2697.333333,0
y,223.3333333,328.6666667,2092,2659.333333,0
y,241.3333333,327,2063.666667,2738.666667,0
3,209.6666667,618.6666667,1487.666667,2485.666667,0
2,207.3333333,437.3333333,1661.666667,2786,0
o,218.6666667,426.3333333,943.3333333,2858.333333,0
9,197,642,1629.333333,2816.333333,0
9,226,689.3333333,1633,2868,0
o,241.3333333,458.3333333,784.6666667,3003,0
2,190,424,1699.333333,2713,0
i,220.6666667,312,1828.333333,3202,0
2,208.3333333,405.3333333,1624.333333,2749.666667,0
a,193,790.6666667,1581,2967,0
9,195,622.6666667,1708.333333,2847,0
a,184.6666667,774,1221.333333,2501.666667,0
a,197.6666667,803.6666667,1682.666667,2833.666667,0
O~,200,354.6666667,1099.333333,2538.333333,1
E~,205.3333333,703.3333333,1246,3055.333333,1
u,245.6666667,351.6666667,1017.666667,2935,0
9,205.3333333,625,1712.333333,2755.333333,0
a~,176,587.3333333,1529,3381.333333,1
2,197,384.3333333,1602,2704.666667,0
o,238.6666667,370,968.3333333,2811.666667,0
9,215.3333333,640,1624.666667,2758,0
a~,205.3333333,449,920.6666667,2710,1
u,248,345.6666667,858.6666667,2679,0
O~,204.3333333,410.6666667,1012.333333,2842,1
a~,197,444.3333333,1019,2987.666667,1
y,228.6666667,298.3333333,1974,2477.666667,0
u,219.3333333,347.6666667,911,2812.333333,0
a,188.6666667,755,1629.666667,2923.333333,0
e,217,386.6666667,2412.666667,2973.333333,0
E~,219.6666667,624,1265.333333,3285,1
i,210.3333333,323,1282.666667,2943,0
a,205.6666667,793,1519,2928.666667,0
E~,196,561,1220.666667,2688.333333,1
i,231.6666667,299.6666667,2103.666667,3288.333333,0
a,204,628.3333333,1363.666667,2360,0
y,202.3333333,354.6666667,2106,2666.333333,0
3,199.6666667,684.6666667,2138,3151,0
o,226,396,1013,2850.666667,0
u,195.6666667,256.6666667,836.3333333,2408,0
9,121.6666667,656.3333333,1871,2873.333333,0
2,180,329.3333333,1717.333333,2733.666667,0
9,196,633.6666667,1750.333333,2953.666667,0
e,188,384.3333333,2610,3146,0
O~,227.3333333,280.3333333,1334.333333,2426.666667,1
i,190.6666667,261.3333333,2177.666667,3543.666667,0
E~,217,482.3333333,1294,2411,1
3,189.6666667,540.3333333,2312.666667,3041.333333,0
3,254,632.3333333,2340.333333,3256.333333,0
o,189.6666667,369.6666667,801,2831,0
y,232.3333333,328,2101.666667,2529,0
3,163,587,2174.333333,3006.666667,0
9,201.6666667,675,1864.333333,2816.666667,0
i,218.3333333,240,1598.666667,2928.333333,0
O~,221.3333333,312.6666667,1142,2110,1
u,199.3333333,329.3333333,899.3333333,2673,0
a~,229,538.6666667,1006,2321.333333,1
i,213.3333333,249,2256.666667,3589.333333,0
y,231,258.6666667,2276.333333,2556,0
a~,213.3333333,440.3333333,942,2444.666667,1
2,223.6666667,398.6666667,1752,2678.333333,0
a,194,841.3333333,1773.333333,2830.666667,0
u,234.3333333,254,790.6666667,2548,0
2,188.6666667,344,1886,2642,0
a~,194.6666667,491.3333333,1240,2588.333333,1
u,243.3333333,270.3333333,893.3333333,2501.333333,0
a~,203.6666667,461.3333333,1082.666667,2119.333333,1
a,191.3333333,793.6666667,1847.333333,2875.666667,0
a,206,847.3333333,1584,2650.333333,0
e,188,375.3333333,2414.666667,3186,0
2,183.6666667,337,1913.666667,3003.333333,0
2,212.6666667,387,1787.333333,2841.333333,0
9,175.6666667,632.6666667,1627,2861,0
E~,243.6666667,529,1284.333333,2413.333333,1
O~,216,266,1272.333333,2165.666667,1
3,205,556,2179.666667,3086.666667,0
i,210,246.6666667,1392,3185.333333,0
O~,236.6666667,408.6666667,1371,2192.666667,1
9,179,612,1840,2988.333333,0
a~,177.3333333,693,1705.666667,3024.666667,1
o,236,418.3333333,1060.333333,2941,0
a,178.6666667,780.6666667,1777,2889,0
2,225.3333333,394,1899.666667,2895.333333,0
9,182.3333333,672,1871.333333,2799.666667,0
3,182.3333333,595.6666667,2127.666667,3049,0
E~,225.3333333,338,1088.333333,1960,1
i,219.3333333,262.3333333,1743.666667,3039.666667,0
e,231.6666667,406,2549,3230,0
E~,242.6666667,568.6666667,1245.666667,2258.666667,1
e,186,343,2442.333333,3163,0
o,234,447.6666667,1135.666667,2888.666667,0
e,227,421.6666667,1922.666667,2907.666667,0
E~,225,461.6666667,1152.666667,1971,1
e,204.3333333,414,2427.333333,3194.333333,0
o,215,410,1070.333333,2992.333333,0
i,201.6666667,227.3333333,1384,3019.333333,0
u,174.3333333,355,852,2605.666667,0
y,194.3333333,239.3333333,2300.333333,2575.666667,0
y,215.6666667,266.3333333,2146,2659.666667,0
E~,183.6666667,381.6666667,1189,2582,1
a~,194.6666667,679,1380.666667,2877,1
O~,213,457.3333333,1892.333333,2217,1
u,270.6666667,432,1085.666667,2819.666667,0
O~,258,367,1367.333333,2205.333333,1
y,216,262,2353.333333,2524.666667,0
o,207,403.6666667,918.3333333,2704.333333,0
a,178.3333333,809.3333333,1628.666667,2963,0
i,225.6666667,263,2252.666667,3358.666667,0
i,99.66666667,330.3333333,2530,3512,0
u,252.3333333,293.3333333,758.3333333,2841,0
E~,236.3333333,397,1305,2420.666667,1
y,134.3333333,384.3333333,2005.666667,2636.666667,0
O~,240.6666667,416,931.6666667,2168.666667,1
i,244,282.3333333,2454,3619.666667,0
3,179,377.3333333,2233,3011.333333,0
O~,182,286.6666667,1354,2250.333333,1
a~,177.3333333,460.3333333,926,2088,1
y,187.3333333,297.6666667,2266.666667,2609,0
a,181.3333333,762.6666667,1849.666667,2884.333333,0
e,234.3333333,385.6666667,2515.333333,3140,0
a~,209.3333333,477.3333333,1166,2160,1
O~,208,253,1317.666667,2382.666667,1
e,190.3333333,343,2479,3141.666667,0
o,223.3333333,409,934.3333333,2841.333333,0
e,179.6666667,330.6666667,2414,3089.333333,0
3,211,641.3333333,2149.333333,3081.666667,0
2,187.6666667,380,1898,2981.333333,0
e,181.3333333,373,2364,3034,0
3,184.6666667,603,2237.666667,3215.333333,0
a~,208,470.3333333,1282,2160.666667,1
u,211.6666667,376.3333333,845.6666667,2742,0
O~,189.3333333,403.3333333,1407.666667,2334,1
y,230.3333333,332.6666667,2252.666667,2737.666667,0
o,201.3333333,343.6666667,1154.333333,2926.333333,0
E~,181.6666667,603,1275,2481.666667,1
e,180.3333333,356.3333333,2522.333333,3209,0
3,181.3333333,701.6666667,2197.666667,3080.333333,0
E~,208.3333333,357.6666667,1218,2201.333333,1
2,186.6666667,358.6666667,1770.333333,2742,0
9,181.6666667,674.3333333,1702,2879.333333,0
u,176.3333333,241.3333333,1478,2660.666667,0
3,196,498.6666667,2321.666667,3100.666667,0
o,215,394,1114.333333,2926.333333,0
y,212.6666667,328.3333333,2066,2440.333333,0
y,234.6666667,302.3333333,2062,2426,0
3,153.6666667,624.6666667,2210,3178.333333,0
2,185.6666667,359.6666667,1936.333333,2999.666667,0
o,228.6666667,408,1002.333333,2614.666667,0
9,218.6666667,682,1894,2985.333333,0
9,182,638.3333333,1735.666667,2878,0
o,234.6666667,348.6666667,826.3333333,2914.333333,0
2,177.6666667,318.6666667,1657.333333,2656.666667,0
i,178.3333333,296,1424.333333,2878.333333,0
2,188.3333333,331.3333333,1593.333333,2781,0
a,174.6666667,711,1485,2406,0
9,180,628.3333333,1802.666667,2987.666667,0
a,215.6666667,720.6666667,1749,3074,0
a,209.6666667,885,1772.666667,2832.333333,0
O~,213.6666667,391.6666667,1468.333333,2497,1
E~,208.3333333,339,1155,2073.333333,1
u,248.6666667,466,1112.666667,3086.666667,0
9,120,627.6666667,1826,2838.333333,0
a~,224,613,1357.666667,2852,1
2,237,371.3333333,1742,2580,0
o,245.6666667,382.3333333,1012.333333,2724.333333,0
9,205.6666667,659.3333333,1837,2915.333333,0
a~,217.6666667,564.3333333,1347,2707.333333,1
u,222,261.3333333,1199,2694,0
O~,197.6666667,265.3333333,1141.333333,2241.666667,1
a~,186.3333333,426,1085.333333,2209,1
y,196.3333333,245.3333333,2052.666667,2303.666667,0
u,184.3333333,340,830,2659,0
a,185,710.6666667,1764.666667,2875,0
e,207.6666667,404.6666667,2518.666667,3154.666667,0
E~,190,477,1394.666667,2420.333333,1
i,187,219.6666667,1129,2439.666667,0
a,215,868.3333333,1615.333333,2891,0
E~,221,472.6666667,1267,2192.666667,1
i,221.3333333,274.3333333,2661,4022,0
a,204,736.6666667,1749.333333,3034.333333,0
y,213.3333333,367.3333333,2039,2620.333333,0
3,223,535,2026,2991,0
o,229.3333333,402.6666667,936.6666667,2978,0
u,229.6666667,340,1123.333333,2864.333333,0
9,209.6666667,567.3333333,1684,2860.333333,0
2,215.3333333,406.6666667,1752.333333,2700,0
9,227.6666667,596.3333333,1611,2825.666667,0
e,199.3333333,408.3333333,2233,3278,0
O~,213.6666667,507,1263.333333,2443.333333,1
i,226.3333333,324,2545.666667,3590.333333,0
E~,221.3333333,818.3333333,1690,3260.333333,1
3,221.6666667,409.3333333,2265.666667,3306.333333,0
3,156.3333333,462.6666667,2406.666667,3229.666667,0
o,216.3333333,391.3333333,995.3333333,3080,0
y,208.6666667,380.6666667,2056.666667,2692.666667,0
3,227.3333333,598.6666667,2015.333333,3109.333333,0
9,226.6666667,625.6666667,1739.666667,2822.333333,0
i,203.3333333,335.3333333,2558,3617,0
O~,232.3333333,300.3333333,1278.333333,2215.333333,1
u,212.6666667,353.3333333,942,3084.666667,0
a~,199.3333333,572.6666667,1169.333333,2725.666667,1
i,210.6666667,317,2607.333333,3715.333333,0
y,193,321.3333333,2070.333333,2492.333333,0
a~,223.3333333,859,1425,3388.333333,1
2,227.3333333,438.6666667,1887,2816.333333,0
a,177.3333333,901,1741,2863.333333,0
u,230.3333333,324.6666667,994,2808.666667,0
2,226,419.6666667,1802,2566.666667,0
a~,202,680,1240,2933.666667,1
u,219,384.6666667,807.3333333,3062,0
a~,192.3333333,497.6666667,1174.333333,2806.666667,1
a,207.6666667,809.3333333,1660.333333,2970,0
a,230,767,1872,3035.333333,0
e,203.3333333,404,2353.333333,3199.666667,0
2,211,330,1789,2772,0
2,189.3333333,334.3333333,1851.333333,2787.666667,0
9,206.3333333,616.6666667,1640.666667,2835,0
E~,217.3333333,899.6666667,1668,3337,1
O~,202.6666667,367.6666667,1190.333333,2025.666667,1
3,184.6666667,539.6666667,2189.333333,3134.666667,0
i,225,382.3333333,2477.333333,3589,0
O~,217.6666667,340.6666667,1350.666667,2102,1
9,215.3333333,543.3333333,1694.666667,2926.333333,0
a~,224.3333333,739.6666667,1208.333333,3199,1
o,242,458.6666667,1631.333333,2850,0
a,200.3333333,726.6666667,1552.666667,2975.666667,0
2,188.3333333,445.3333333,1857.333333,2769,0
9,222.6666667,498.6666667,1698.333333,2849.666667,0
3,228,449.6666667,1992.666667,2885.333333,0
E~,218,811.3333333,1679.666667,3436.333333,1
i,197.3333333,335,2477.666667,3659.333333,0
e,221.6666667,430.6666667,2413,3324.333333,0
E~,212.3333333,887.3333333,1496.666667,3234,1
e,228.3333333,408,2052.333333,3306.333333,0
o,218.3333333,417.6666667,1448.333333,2841.666667,0
e,190,416.3333333,2313.666667,3195.333333,0
E~,201,822,1561,3279,1
e,204,428.6666667,2329.333333,3221,0
o,219.6666667,429,1381.666667,2972.666667,0
i,219,340.3333333,2426.333333,3584,0
u,222.6666667,406.6666667,1022.333333,3111.666667,0
y,228,351.3333333,2166.333333,2532.333333,0
y,219.3333333,383.3333333,1907.333333,2723,0
E~,219,862.3333333,1536,3415,1
a~,213.3333333,771,1496.666667,3217,1
O~,233,291,1283,2273.333333,1
u,257.3333333,460.3333333,1087,3322.666667,0
O~,230,407.3333333,1253.333333,2215.666667,1
y,233.6666667,320.3333333,2191.333333,2740.333333,0
o,162,381.6666667,901.6666667,2976.666667,0
a,205,659.3333333,1824.333333,3091,0
i,247.3333333,299,2406,3340,0
i,230.3333333,372.3333333,2482.333333,3554.666667,0
u,224,377,1175.666667,2569,0
E~,228,849,1778.666667,3421,1
y,147,405,1886.666667,2659.666667,0
O~,223.6666667,359.3333333,1186.333333,3109,1
i,215.6666667,358,2466,3545,0
3,197.6666667,386.3333333,2238.666667,3310,0
O~,210,487.3333333,1276.666667,2486,1
a~,220.3333333,393.6666667,1131.333333,3184.333333,1
y,219,324.3333333,2121.333333,2785.666667,0
a,216,715.3333333,1692,3082,0
e,213.3333333,421.6666667,2314.333333,3313,0
a~,193.3333333,449.6666667,1072.666667,2116.666667,1
O~,216.3333333,268.3333333,1313.333333,2214.333333,1
e,218.6666667,435,2219,3248,0
o,215.3333333,398,1177,2883.333333,0
e,195.3333333,384.3333333,2478,3381.333333,0
3,133.6666667,593.3333333,2132,3010.333333,0
2,203,389.3333333,1818.666667,3003,0
e,220.3333333,415.6666667,2261.666667,3087.666667,0
3,221,540.6666667,1917.333333,3029.666667,0
a~,221.6666667,726.6666667,1482,3094,1
u,234.3333333,382.6666667,911.3333333,3067,0
O~,217,367,1150.666667,2260.666667,1
y,212.3333333,334.3333333,2279.333333,2801.333333,0
o,221.6666667,413.6666667,1465.666667,3048.333333,0
E~,199.3333333,883.6666667,1632.666667,3235,1
e,207,391.6666667,2328,3352.666667,0
3,207.3333333,584,2018.333333,3110.333333,0
E~,216.6666667,863.6666667,1464.333333,3317.333333,1
2,227.6666667,429.6666667,1869,2682.666667,0
9,105,632,1720.333333,2836,0
u,229.3333333,344.3333333,1371.333333,2591.666667,0
3,105.6666667,408.6666667,2430.666667,3216,0
o,218.6666667,402.3333333,1278.333333,2738.333333,0
y,227.3333333,352.3333333,2000.333333,2571,0
y,244,331,2324.666667,2717,0
3,205.6666667,641,2120.333333,3057,0
2,199.3333333,381.6666667,1796.333333,2772.666667,0
o,223.6666667,433.6666667,1164,3098.666667,0
9,244,726,1704,2861.333333,0
9,228.6666667,630.3333333,1549.333333,2936,0
o,214.6666667,400.3333333,1017,2981,0
2,246,398.6666667,1860.333333,2756.333333,0
i,235.6666667,398,2287.666667,3655.666667,0
2,232.6666667,434.6666667,1773,2734.666667,0
a,187,759.3333333,1655,3009,0
9,191.6666667,533,1646.333333,3065,0
a,199.3333333,718.6666667,1811.666667,3088.333333,0
a,231.6666667,815.3333333,1749,3043,0
O~,210,357.6666667,1222.666667,1767.666667,1
E~,215.6666667,888.6666667,1521.666667,3339.666667,1
u,126,399,1001.333333,3134.666667,0
9,205.3333333,560.3333333,1770.666667,2899.333333,0
a~,192.3333333,472.6666667,1107,2413.333333,1
2,193.3333333,380.3333333,2000,2589.666667,0
o,229,442.3333333,1217.666667,3111.333333,0
9,110.6666667,568,1710,2852.333333,0
a~,239.6666667,733,1289.333333,2661.666667,1
u,247.3333333,388.6666667,997.3333333,2913,0
O~,222.6666667,427,1130.333333,2402,1
a~,193,737.3333333,1281,3350.333333,1
y,206,358.6666667,1789.333333,2562.333333,0
u,217.6666667,374.3333333,942,2357.333333,0
a,201.6666667,743.6666667,1744.333333,3047.666667,0
e,193.3333333,407.3333333,2367,3222,0
E~,216.6666667,932.6666667,1549,3160,1
i,230,368,1457,3099,0
a,219,868.3333333,1766.333333,3047,0
E~,212.3333333,890.3333333,1571,3496.333333,1
i,191.3333333,338,2566.333333,3756.333333,0
a,90.66666667,782.6666667,1396.333333,2557.333333,0
y,218.3333333,296.6666667,2145,2766.333333,0
3,189,630,2106.666667,2920,0
o,192.3333333,371,1166.666667,2678.333333,0
u,122,332.3333333,1204.666667,2406,0
9,190.3333333,394,1807,2821.666667,0
2,211.6666667,370.6666667,1677,2743.333333,0
9,176.3333333,390.3333333,1592.333333,2810.666667,0
e,222,331,2391,3284.666667,0
O~,214,415,688.6666667,2569,1
i,129,316.3333333,2216.666667,3141,0
E~,90.66666667,449.3333333,1529,2498.666667,1
3,129.3333333,381,2322,3102,0
3,237.6666667,426.6666667,2419.333333,3044.333333,0
o,225.6666667,377.6666667,667,2798,0
y,236.6666667,307,2137.333333,2647.333333,0
3,182,474,2315.333333,3212.666667,0
9,178.6666667,484.6666667,1825.333333,2721.666667,0
